AccX,AccY,AccZ,Roll,Pitch,Yaw,MagX,MagY,MagZ,MagH,Force
-8483.03,681.36,10532.29,66.03,-2.56,-117.68,-190,406,-383,-117.15,15.5394451018
-8438.03,709.36,10404.29,65.79,-2.15,-117.61,-191,406,-383,-117.05,9.3228899917
-8318.03,753.36,10315.29,67.53,-3.41,-116.71,-191,405,-387,-117.55,0.0
-8274.03,1901.36,10386.29,68.66,-7.42,-116.62,-165,398,-392,-117.12,0.0
-8390.03,1069.36,10199.29,73.43,-6.21,-117.20,-171,400,-392,-118.06,0.0
-7424.03,2513.36,8993.29,73.09,-20.15,-98.15,-54,337,-405,-108.89,0.0
-5702.03,6871.36,7846.29,37.27,-4.16,-68.71,39,253,-290,-89.27,0.0
-1790.03,8311.36,8476.29,29.43,-3.33,-57.59,73,128,-220,-74.79,0.0
-463.03,7154.36,9126.29,28.58,-1.99,-57.23,72,79,-197,-71.09,0.0
141.97,7749.36,10419.29,11.98,-0.59,-62.51,79,29,-208,-50.20,0.0
-295.03,7903.36,10976.29,13.59,-0.63,-55.96,76,15,-208,-45.04,0.0
-299.03,7883.36,10984.29,13.56,-0.61,-53.53,75,16,-207,-45.76,0.0
-291.03,7900.36,10946.29,13.49,-0.55,-51.80,74,16,-207,-46.08,0.0
-288.03,7907.36,10929.29,13.50,-0.48,-50.50,72,15,-206,-46.32,0.0
-310.03,7908.36,10879.29,13.40,-0.41,-49.54,73,15,-206,-45.89,0.0
-298.03,7927.36,10967.29,13.29,-0.28,-48.15,71,16,-205,-47.09,0.0
-203.03,7955.36,10759.29,14.04,-0.25,-47.88,71,15,-204,-47.08,0.0
-246.03,7908.36,10979.29,14.20,-0.17,-47.65,73,14,-204,-46.92,0.0
-271.03,7911.36,10858.29,14.28,-0.10,-47.46,72,14,-206,-47.61,0.0
-442.03,7832.36,11096.29,14.17,-0.03,-47.55,72,15,-206,-48.49,0.0
-321.03,7879.36,10928.29,13.45,0.15,-47.85,72,16,-205,-47.54,0.0
-271.03,7871.36,10980.29,12.69,0.23,-47.76,73,17,-205,-46.66,0.0
-249.03,7891.36,10894.29,12.56,0.29,-47.49,72,15,-205,-45.83,0.0
-271.03,7894.36,10882.29,12.33,0.38,-47.12,72,17,-205,-46.49,0.0
-288.03,7885.36,10910.29,12.27,0.45,-46.93,73,15,-205,-45.18,0.0
-295.03,7873.36,10916.29,11.93,0.57,-46.19,72,16,-205,-45.75,0.0
-291.03,7889.36,10909.29,11.82,0.63,-46.07,72,16,-206,-45.67,0.0
-284.03,7903.36,10910.29,11.70,0.70,-45.95,71,15,-205,-45.37,0.0
-291.03,7870.36,10914.29,11.34,0.79,-45.80,71,15,-205,-44.90,0.0
-274.03,7911.36,10863.29,10.96,0.87,-45.58,72,16,-205,-44.41,0.0
-283.03,7864.36,10843.29,5.60,2.77,-36.95,71,16,-205,-36.40,0.0
-318.03,7862.36,10897.29,5.20,2.85,-36.80,72,16,-204,-35.29,0.0
-284.03,7877.36,10906.29,5.17,2.91,-36.45,72,16,-205,-35.26,0.0
-297.03,7890.36,10858.29,5.10,2.97,-36.18,71,16,-205,-35.56,0.0
-282.03,7890.36,10855.29,5.06,3.03,-36.01,72,16,-205,-35.08,0.0
-295.03,7896.36,10848.29,5.04,3.18,-35.67,72,16,-205,-35.16,0.0
-299.03,7891.36,10829.29,4.72,3.26,-35.53,72,16,-204,-34.46,0.0
-287.03,7898.36,10866.29,4.52,3.34,-35.27,73,16,-206,-33.79,0.0
-320.03,7868.36,10899.29,4.09,3.43,-34.90,72,15,-205,-32.64,0.0
-296.03,7873.36,10875.29,3.76,3.50,-34.36,73,15,-205,-31.34,0.0
-254.03,7877.36,10895.29,3.63,3.65,-33.33,72,17,-205,-33.01,0.0
-287.03,7869.36,10846.29,3.69,3.72,-33.24,72,17,-205,-33.12,0.0
-1107.03,8897.36,7590.29,8.31,3.37,-33.74,76,22,-206,-32.35,0.0
-1780.03,6374.36,8745.29,30.64,7.36,-51.86,63,162,-232,-86.58,0.0
-5275.03,5872.36,8087.29,67.25,-6.90,-72.23,45,242,-331,-91.16,0.0
-7110.03,2652.36,9762.29,57.73,1.80,-98.25,-65,351,-366,-102.82,0.0
-8184.03,2552.36,10652.29,63.97,1.36,-109.52,-124,380,-400,-109.11,0.0
-8196.03,2207.36,9989.29,65.45,7.65,-108.56,-131,381,-400,-107.95,0.0
-7481.03,2129.36,9548.29,63.15,10.94,-107.98,-135,383,-393,-107.01,0.0
-7971.03,2237.36,9437.29,62.39,11.69,-108.57,-141,384,-392,-107.36,0.0
-7460.03,1799.36,10308.29,53.41,11.57,-113.13,-166,388,-383,-110.97,0.0
-9109.03,-2957.64,13824.29,62.25,1.44,-123.65,-220,387,-400,-117.77,9.90569203327
-8609.03,792.36,9555.29,65.66,-0.51,-118.33,-205,390,-401,-117.93,26.6126838917
-8863.03,-727.64,11941.29,67.73,-1.31,-119.02,-206,389,-400,-118.12,44.8738145277
-8708.03,-600.64,10785.29,70.22,0.67,-122.38,-219,391,-402,-119.12,36.7145859456
-8945.03,-189.64,10994.29,67.78,3.87,-124.24,-205,392,-399,-116.81,0.0
-8119.03,558.36,10228.29,60.66,7.85,-120.37,-201,397,-388,-114.53,0.0
-8072.03,796.36,10197.29,56.29,10.10,-119.05,-208,399,-383,-114.80,0.0
-2462.03,396.36,11946.29,58.40,5.98,-118.83,-207,396,-384,-115.19,0.0
-9477.03,1725.36,7790.29,63.17,9.54,-134.21,-233,381,-406,-117.80,25.0585451142
-8702.03,-49.64,11444.29,65.04,15.93,-125.79,-200,397,-393,-111.16,47.7878247355
-8576.03,292.36,10574.29,65.76,15.98,-122.05,-204,396,-396,-111.10,0.0
-8808.03,-418.64,12593.29,68.58,11.20,-113.82,-184,392,-402,-111.04,0.0
-8286.03,883.36,10270.29,64.14,16.30,-110.20,-196,398,-390,-110.79,0.0
-7290.03,783.36,10331.29,62.08,20.24,-110.39,-202,400,-381,-109.89,0.0
-8339.03,1547.36,10568.29,68.28,7.57,-112.20,-167,391,-381,-110.74,27.3897532805
-8627.03,124.36,11832.29,75.38,13.03,-114.40,-196,388,-400,-110.41,47.3992900411
-8704.03,-125.64,11088.29,78.12,12.06,-115.08,-196,385,-406,-111.30,20.2018614344
-8484.03,668.36,10038.29,84.44,16.06,-114.79,-176,384,-399,-107.64,0.0
-8575.03,811.36,11000.29,83.32,12.83,-110.41,-188,383,-409,-109.18,0.0
-7991.03,854.36,10285.29,70.47,22.28,-106.13,-210,396,-383,-107.73,0.0
-7881.03,430.36,10716.29,72.43,21.07,-106.13,-204,394,-386,-107.21,0.0
-8350.03,-1051.64,13495.29,83.10,2.98,-116.58,-193,378,-414,-116.59,33.2177736962
-8357.03,1650.36,11353.29,77.95,4.54,-103.68,-195,377,-425,-114.44,30.3037634883
-8173.03,2092.36,10996.29,78.90,0.90,-105.82,-169,376,-417,-115.01,0.0
-8348.03,608.36,10554.29,74.28,18.91,-102.59,-171,383,-403,-105.84,0.0
-6843.03,1321.36,9522.29,71.26,22.29,-103.32,-175,384,-392,-104.31,0.0
-8552.03,817.36,13108.29,62.52,-10.97,-112.80,-157,373,-403,-114.47,36.7145859456
-8355.03,974.36,11252.29,59.78,6.97,-98.50,-170,367,-426,-112.30,0.0
-9025.03,187.36,10712.29,57.65,3.57,-104.12,-185,373,-430,-114.01,0.0
-7847.03,773.36,14177.29,49.86,-16.43,-104.96,-122,372,-400,-108.69,14.762375713
-8511.03,2253.36,9488.29,52.61,-10.72,-105.34,-166,373,-430,-112.62,0.0
-8500.03,1489.36,10768.29,50.94,-13.24,-103.74,-176,370,-435,-113.33,0.0
-8408.03,594.36,10001.29,42.15,-10.98,-109.91,-183,389,-412,-112.95,0.0
-8934.03,-3845.64,13049.29,44.11,-16.00,-109.61,-185,368,-429,-112.99,29.7209614468
-8801.03,-489.64,12650.29,54.47,-23.40,-119.29,-211,380,-430,-117.25,0.0
-8641.03,459.36,11257.29,50.75,-19.12,-110.58,-166,379,-411,-112.82,0.0
-8685.03,1040.36,10743.29,49.31,-16.44,-113.68,-168,389,-402,-113.19,0.0
-7979.03,269.36,10762.29,48.82,-14.39,-113.28,-171,389,-399,-113.44,0.0
-7640.03,1220.36,10608.29,52.15,-5.42,-110.12,-164,389,-397,-113.01,0.0
-6299.03,7531.36,10769.29,-28.30,-22.26,-78.57,39,229,-312,-47.97,0.0
-7719.03,2052.36,13290.29,-19.97,-25.60,-111.09,-106,381,-265,-77.75,0.0
-8171.03,2754.36,8098.29,27.71,29.40,-94.80,-131,396,-293,-116.47,0.0
-1875.03,2759.36,4733.29,52.83,49.46,-67.91,-30,322,-268,-104.96,0.0
323.97,3360.36,4860.29,59.67,7.24,-55.64,17,223,-201,-75.90,0.0
3837.97,3772.36,6744.29,74.90,-77.85,-45.07,-26,70,-106,-119.85,0.0
1781.97,4927.36,6099.29,67.27,6.64,-93.87,7,87,-158,-131.97,0.0
-2469.03,5381.36,6543.29,186.02,-90.19,-174.42,38,189,-259,140.30,0.0
-6060.03,3046.36,7313.29,201.17,-24.02,171.03,-36,331,-344,103.98,0.0
-8349.03,-1013.64,9745.29,201.26,38.55,145.88,-228,400,-412,94.28,0.0
-6316.03,-6545.64,13578.29,170.68,111.01,98.27,-481,311,-407,20.12,0.0
-3532.03,-6180.64,17128.29,6.23,155.27,-7.76,-562,142,-430,-47.25,0.0
